ChainName,PrimaryCategory
A Pea in the Pod,Clothing - Womens
A Place for Mom,Senior Living
A Renewed Mind,Misc. Health Supplies + Services
A Suite Salon,Hair
A&A Beauty Supply,Cosmetics + Beauty Supplies
A&A Optical,Optical
A&W Indonesia,Restaurant - QSR/Fast Food
A&W Malaysia,Restaurant - QSR/Fast Food
A&W Restaurants,Restaurant - QSR/Fast Food
A&W Restaurants Canada,Restaurant - QSR/Fast Food
"A'GACI",Clothing - Womens
A+ Rentals,Furnishing Rentals
A-1 Self Storage,Storage
A.C. Moore,"Crafts, Toys, and Hobbies"
A.P.C. Store,Cosmetics + Beauty Supplies
A1 Medical Imaging,"Hospitals, Urgent Care, + Doctors"
A1 Wine and Spirit,"Beer, Wine, + Liquor Stores"
AAA Auto Repair - Owned Shops,"Auto Service, Parts, + Tires"
AAA Club Offices,Insurance
AAA Cooper Transportation,Shipping
AAA Self Storage,Storage
AAA/CAA Auto Repair - Authorized Providers,"Auto Service, Parts, + Tires"
AAMCO Transmissions,"Auto Service, Parts, + Tires"
"ABB ",Agricultural and Industrial Equipment + Supplies
ABC Auto,"Auto Service, Parts, + Tires"
ABC Country Restaurants,Restaurant - Casual
ABC Fine Wine & Spirits,"Beer, Wine, + Liquor Stores"
ABC Kiddie Kampus,"Schools, Tutoring, + Education"
ABC Supply,Home Improvement + Building Supplies
ABC Warehouse,Computers + Consumer Electronics
ABF Freight,Shipping
ABNB Federal Credit Union,Banks + Financial Services
ABO Plasma,Misc. Health Supplies + Services
ABRA Auto Body and Glass,"Auto Service, Parts, + Tires"
AC Hotels by Marriott,Hotels
AC Value Center,Grocery
ACDelco,"Auto Service, Parts, + Tires"
ACE Cash Express,Lending
ADESA,Shipping
ADI Global Distribution,Computers + Consumer Electronics
AFC Sushi,Food Retail (Non-Grocers)
AG Foods,Grocery
AG Jeans,Clothing - Mens
AGLC - Alberta Cannabis Retailers,Cannabis Retail
AGLC - Alberta Liquor Retailers,"Beer, Wine, + Liquor Stores"
AGUP Equipment,Agricultural and Industrial Equipment + Supplies
AGX Hearing,Hearing Care
AIM Mail Centers,Shipping
"AJ's Fine Foods",Grocery
AJC Garfunkel,Commercial Properties
AKA,Hotels
AKDO,Home Improvement + Building Supplies
AKT,Gyms + Fitness Facilities
ALDI,Grocery
ALDI Australia,Grocery
ALDI UK,Grocery
AMAZING Intimate Essentials,"Crafts, Toys, and Hobbies"
AMBEST,Gas Stations
AMC Entertainment,Theatres
AMF Bowling Centers,Sports + Recreation
AMR,Misc. Health Supplies + Services
ANY LAB TEST NOW,"Hospitals, Urgent Care, + Doctors"
APM Monaco,Jewelry
ARC Real Estate Group,Commercial Properties
ARC Thrift Stores,Used Products
ARCO,Gas Stations
ARS Treatment Center,Misc. Health Supplies + Services
ASE Blue Seal Shops,"Auto Service, Parts, + Tires"
ASICS,Footwear
AT&T,Communications
ATB Financial,Banks + Financial Services
ATI Physical Therapy,Physical Therapy + Rehabilitation
ATM - Anthony Thomas Melillo,Clothing - Womens
AVR Realty,Commercial Properties
AYA Medical Spa,"Spa, Massage, + Esthetics"
AYR Wellness Inc,Cannabis Retail
AZPetVet,"Hospitals, Urgent Care, + Doctors"
Aaron Brothers,"Crafts, Toys, and Hobbies"
"Aaron's",Furnishing Rentals
Abbey Carpet and Floor,Home Improvement + Building Supplies
Abbott Northwestern Hospital,"Hospitals, Urgent Care, + Doctors"
"Abbott's Frozen Custard",Restaurant - Bakery/Desserts
"Abby's Legendary Pizza",Restaurant - Casual
Abercrombie & Fitch,Clothing - Family/Unisex
Abercrombie Kids,Clothing - Childrens
Aboff?s,Home Improvement + Building Supplies
Absolute Dental,Dental
Absolute Management,Storage
"Abuelo's",Restaurant - Casual
Academics PreKindergarten,"Schools, Tutoring, + Education"
Academy Sports + Outdoors,Sports + Recreation
Acadia Healthcare,Misc. Health Supplies + Services
Acadia Realty Trust,Commercial Properties
Acapulco Restaurants,Restaurant - Casual
Accellacare,Misc. Health Supplies + Services
Accent Care,Misc. Health Supplies + Services
Acceptance Insurance,Insurance
Ace Hardware,Home Improvement + Building Supplies
Ace Hardware Canada,Home Improvement + Building Supplies
Ace Liquor,"Beer, Wine, + Liquor Stores"
Ace Rent to Own,Furnishing Rentals
Acelero Learning,Child Care
Acima,Lending
Acme Fresh Market,Grocery
Acme Markets,Grocery
Acme Tools,Home Improvement + Building Supplies
Action Behavior Centers,Misc. Health Supplies + Services
Action Car and Truck Accessories,"Auto Service, Parts, + Tires"
Action Day Primary Plus,"Schools, Tutoring, + Education"
Action Gator Tire,"Auto Service, Parts, + Tires"
Action Physical Therapy,Physical Therapy + Rehabilitation
Active Day,Senior Living
Active Green + Ross,"Auto Service, Parts, + Tires"
Acura,New/Used Car Dealers
Acura Canada,New/Used Car Dealers
Adam & Eve,Misc. Health Supplies + Services
Adams Drugs,Drug Stores + Pharmacies
Adams Fairacre Farms,Grocery
Adams Hometown Market,Grocery
Adapt Health,Misc. Health Supplies + Services
Addition Elle,Clothing - Womens
Adecco,Staffing/Employment
Adidas,Footwear
Adirondack Tire & Service,"Auto Service, Parts, + Tires"
Adma Biocenters,Misc. Health Supplies + Services
Admiral Petroleum,Gas Stations
Adoration Health,"Hospitals, Urgent Care, + Doctors"
Adultmart,Misc. Health Supplies + Services
Advance America,Lending
Advance Auto Parts,"Auto Service, Parts, + Tires"
Advance Financial,Lending
Advanced Home Care,"Hospitals, Urgent Care, + Doctors"
Advanced Radiology,"Hospitals, Urgent Care, + Doctors"
Advanced Urgent Care & Occupational Medicine,"Hospitals, Urgent Care, + Doctors"
Advantage Dental,Dental
Advantage Rent A Car,Car + Truck Rentals
Advantage Storage,Storage
Advantage Tire & Auto,"Auto Service, Parts, + Tires"
Advent Health,"Hospitals, Urgent Care, + Doctors"
AdventHealth Centra Care,"Hospitals, Urgent Care, + Doctors"
Advocare,"Hospitals, Urgent Care, + Doctors"
Advocate Health Care,"Hospitals, Urgent Care, + Doctors"
Aerie,Clothing - Womens
Aerocare,Misc. Health Supplies + Services
Aerosoles,Footwear
Aerotek,Staffing/Employment
Aesop,Cosmetics + Beauty Supplies
"Affinity ",Banks + Financial Services
Affinity Living Group,Misc. Health Supplies + Services
Affordable Dental Care,Dental
Affordable Dentures,Dental
Affordable Home Furnishings,Furnishing Rentals
Affordable Insurance Agency,Insurance
Afters Ice Cream,Restaurant - Bakery/Desserts
Against All Odds,Clothing - Family/Unisex
Agave & Rye,Restaurant - Casual
Agent Provocateur,Clothing - Womens
Agfinity,Agricultural Feed + Seed
Aglamesis Bros Ice Cream,Restaurant - Bakery/Desserts
Agri Supply,Agricultural Feed + Seed
Agway,Agricultural Feed + Seed
Ahern Rentals,Agricultural and Industrial Equipment + Supplies
Ahipoki Bowl,Restaurant - Fast Casual
Aiden,Hotels
AirSculpt,"Spa, Massage, + Esthetics"
Airgas,Agricultural and Industrial Equipment + Supplies
Airrosti,Physical Therapy + Rehabilitation
Akashi,Restaurant - Casual
Aki Sushi,Restaurant - Casual
"Akin's Natural Food Market",Grocery
Akira Back,Restaurant - Fine Dining
AkzoNobel,Home Improvement + Building Supplies
Al Fresco?s,Restaurant - QSR/Fast Food
"Al and Ed's Autosound",Computers + Consumer Electronics
"Al's Beef",Restaurant - QSR/Fast Food
"Al's Formal Wear",Clothing - Family/Unisex
Alabama ABC Board,"Beer, Wine, + Liquor Stores"
Alabama Farmers Cooperative,Agricultural Feed + Seed
Alabama Vision Center,Optical
"Alamo City Auto Repair ","Auto Service, Parts, + Tires"
Alamo Drafthouse Cinema,Theatres
Alamo Rent A Car,Car + Truck Rentals
Albanese Cormier,Commercial Properties
Albert Heijn (AH),Grocery
Albert Kemperle Inc,Agricultural and Industrial Equipment + Supplies
Alberta College of Pharmacy,Drug Stores + Pharmacies
Albertsons,Grocery
Albertsons Market,Grocery
Alcampo,Grocery
"Alcool NB Liquor ","Beer, Wine, + Liquor Stores"
Aldo,Footwear
Alex and Ani,Jewelry
Alexander & Baldwin,Commercial Properties
Alexander McQueen,Clothing - Family/Unisex
Alfa Romeo,New/Used Car Dealers
"Aliberto's",Restaurant - Casual
Alice & Olivia,Clothing - Family/Unisex
Alive Health Centre,"Vitamins, Nutrition, and Supplements"
All American Car Wash,Car Wash
AllSaints,Clothing - Family/Unisex
Allbirds,Footwear
Allegiance Bank,Banks + Financial Services
Allegra Network,"Printing, Copying + Publishing"
Allen Edmonds,Footwear
Allen Tire Company,"Auto Service, Parts, + Tires"
Alliance Dental & Orthodontics,Dental
Alliance Urgent Care Centers,"Hospitals, Urgent Care, + Doctors"
Allied Building Products,Home Improvement + Building Supplies
Allina Health,"Hospitals, Urgent Care, + Doctors"
Allo Mon Coco,Restaurant - Casual
Alloy Personal Training,Gyms + Fitness Facilities
Allstate Insurance,Insurance
Allstays Truck Stops,Gas Stations
"Allsup's",Gas Stations
Alltown Markets,Convenience Store
Almond Nail Bar,"Spa, Massage, + Esthetics"
Almost Family,Senior Living
Alo Yoga,Clothing - Family/Unisex
Aloft Hotels,Hotels
Aloha Poke,Restaurant - Fast Casual
Alon,Gas Stations
Alonti Catering,Catering
Alpaca Peruvian Charcoal Chicken,Restaurant - Casual
Alphabet Academy,"Schools, Tutoring, + Education"
Alphagraphics,"Printing, Copying + Publishing"
Alsco,Cleaning
Alta Convenience,Convenience Store
"Altar'd State",Clothing - Womens
Altima and BrightSmile Dental Centres,Dental
Altitude Trampoline Parks,Amusement
Alumni Hall,Sports + Recreation
Always Best Care,Senior Living
AmCap Inc.,Commercial Properties
"Amato's",Restaurant - Fast Casual
Amazing Lash Studio,"Spa, Massage, + Esthetics"
Amazon 4-Star,Mass Merchant
Amazon Books,Books
Amazon Fresh,Grocery
Amazon Go,Grocery
Amazon Pop-Up,Computers + Consumer Electronics
Amazon Smart Home Experience,Computers + Consumer Electronics
Amazon Style,Clothing - Family/Unisex
Ambrosia Natural Foods,Grocery
Amedisys Home Health Care,Senior Living
Amegy Bank,Banks + Financial Services
AmericInn,Hotels
America First Credit Union,Banks + Financial Services
"America's Best Contacts & Eyeglasses",Optical
"America's Best Inn",Hotels
"America's Best Value Inn",Hotels
"America's Food Basket",Grocery
"America's Mattress",Furnishings
"America's Taco Shop",Restaurant - QSR/Fast Food
"America's Thrift Store",Used Products
"America's Tire","Auto Service, Parts, + Tires"
American Asset Corporation,Commercial Properties
American Bodyworks,Gyms + Fitness Facilities
American Cancer Society,Used Products
American Deli,Restaurant - QSR/Fast Food
American Dental Partners,Dental
American Eagle Outfitters,Clothing - Family/Unisex
American Family Care,"Hospitals, Urgent Care, + Doctors"
American Family Fitness,Gyms + Fitness Facilities
"American First Finance ",Lending
American Freight,Furnishings
American Furniture Warehouse (AFW),Furnishings
American Girl,"Crafts, Toys, and Hobbies"
American Heritage Credit Union,Banks + Financial Services
American Home Fitness,Sports + Recreation
American House,Misc. Health Supplies + Services
American Lubefast (ALF),"Auto Service, Parts, + Tires"
American Massage Therapy Schools,"Schools, Tutoring, + Education"
American Mattress,Furnishings
American Optometric Association,Optical
American Rental,Furnishing Rentals
American Senior Communities,Senior Living
American Signature Furniture,Furnishings
American Society of Addiction Medicine ASAM,Misc. Health Supplies + Services
American Speedy Printing,"Printing, Copying + Publishing"
American Tire Depot,"Auto Service, Parts, + Tires"
American Tire Distributors (ATD),"Auto Service, Parts, + Tires"
American United Federal Credit Union,Banks + Financial Services
American Veterinary Group,Pet Health + Care
Americare Senior Living,Misc. Health Supplies + Services
Americash Loans,Lending
Americold,Storage
Ameris Bank,Banks + Financial Services
Amerisleep,Mattress Store
Amerivet,"Hospitals, Urgent Care, + Doctors"
Ameublement Tanguay,Furnishings
Amici,Restaurant - Casual
Amigo,Grocery
Amigone Funeral Home,Misc. Health Supplies + Services
Amigos (United),Grocery
Amigos/Kings Classic,Restaurant - QSR/Fast Food
Amnesia Canada,Clothing - Family/Unisex
Amoco Gas Stations (Kroger),Grocery
Amorino,Restaurant - Coffee/Tea
Amped Fitness,Gyms + Fitness Facilities
Ample Hills Creamery,Restaurant - Bakery/Desserts
Ampol,Gas Stations
Ampol Woolworths Metro,Gas Stations
Amscot,Lending
Amstar Cinemas,Theatres
Amsurg,"Hospitals, Urgent Care, + Doctors"
Amtrak,Travel
"Amy's Drive Thru",Restaurant - QSR/Fast Food
Amélie?s French Bakery & Café,Restaurant - Bakery/Desserts
AnMed,"Hospitals, Urgent Care, + Doctors"
Anchor Bar,Restaurant - Casual
Andaz,Hotels
Andersons Liquor,"Beer, Wine, + Liquor Stores"
Andretti Indoor Karting and Games,Amusement
Andrews Jewelers,Jewelry
"Andronico's Community Markets",Grocery
"Andy's Custard",Restaurant - Bakery/Desserts
"Angelo Caputo's Fresh Markets!",Grocery
"Angie's Lobster",Restaurant - Fast Casual
Angry Chickz,Restaurant - Fast Casual
Angry Crab Shack,Restaurant - Casual
Ani Ramen House,Restaurant - Fast Casual
Animus Vet Group,"Hospitals, Urgent Care, + Doctors"
Anine Bing,Clothing - Womens
Anita Gelato,Restaurant - Bakery/Desserts
Ann Sacks,Home Improvement + Building Supplies
Ann Taylor,Clothing - Womens
"Anna's House",Restaurant - Family
"Anna's Taqueria",Restaurant - QSR/Fast Food
Annie Sez,Footwear
Another Broken Egg Cafe,Restaurant - Fast Casual
Anthem Properties,Commercial Properties
"Anthony's Coal Fired Pizza",Restaurant - Fast Casual
"Anthony's Pizza and Pasta",Restaurant - Casual
"Anthony's Restaurants",Restaurant - Fine Dining
Anthropologie,Clothing - Womens
Antioch Pizza Shop,Restaurant - Casual
Anytime Fitness,Gyms + Fitness Facilities
Apollo Vet Med,"Hospitals, Urgent Care, + Doctors"
Appalachian Tire Products,"Auto Service, Parts, + Tires"
Apple Auto Glass,"Auto Service, Parts, + Tires"
"Apple Bank ",Banks + Financial Services
Apple Market,Grocery
Apple Market Convenience Store,Gas Stations
Apple Retail Store,Computers + Consumer Electronics
Apple White Dental Partners,Dental
AppleCare,"Hospitals, Urgent Care, + Doctors"
AppleOne,Staffing/Employment
"AppleTree & Gilden Woods ","Schools, Tutoring, + Education"
"Applebee's",Restaurant - Casual
Applegreen,Convenience Store
Applegreen UK + Ireland,Gas Stations
Appliance & Furniture RentAll,Furnishing Rentals
Apria Healthcare,Misc. Health Supplies + Services
Apricot Lane,Clothing - Womens
Aqua Living Factory Outlets,Home Improvement + Building Supplies
Aqua-Tots,"Schools, Tutoring, + Education"
Arabian Oud,Cosmetics + Beauty Supplies
Arahova,Restaurant - Casual
Arbor Company,Misc. Health Supplies + Services
"Arby's",Restaurant - QSR/Fast Food
"Arc'teryx",Sports + Recreation
ArchWell Health,"Hospitals, Urgent Care, + Doctors"
Arctic Circle,Restaurant - QSR/Fast Food
"Arden's Garden",Restaurant - Juice Bars
Ardene,Clothing - Womens
Arena Liquor,"Beer, Wine, + Liquor Stores"
Argo Tea,Restaurant - Coffee/Tea
Arhaus,Furnishings
Ariat,Footwear
Aritaum,Cosmetics + Beauty Supplies
Aritzia,Clothing - Womens
Arizona Financial Credit Union,Banks + Financial Services
Arizona Tile,Home Improvement + Building Supplies
Ark Naturals,Pet Stores + Supplies
Arlans Market,Grocery
"Armadillo Willy's",Restaurant - Fast Casual
Armani Casa,Furnishings
Armani Exchange (A/X),Clothing - Family/Unisex
Armstrong Garden Centers,Home Improvement + Building Supplies
Armstrong McCall,Cosmetics + Beauty Supplies
Army & Navy,Department Store
"Arni's",Restaurant - Casual
"Aroma Joe's",Restaurant - Coffee/Tea
Arona Home Essentials,Furnishing Rentals
"Arooga's",Restaurant - Casual
Arriscraft,Home Improvement + Building Supplies
Arrow Senior Living,Misc. Health Supplies + Services
Art Van Furniture,Furnishings
Arteagas Food Center,Grocery
Artichoke Pizza,Restaurant - Casual
Arvest Bank,Banks + Financial Services
Arvest Bank - Distributor Locations,Banks + Financial Services
Asbury Automotive Group,New/Used Car Dealers
Ascend Cannabis,Cannabis Retail
Ascend Hotel Collection,Hotels
Ascension Health,"Hospitals, Urgent Care, + Doctors"
Asda,Grocery
Ashcroft & Oak,Jewelry
Ashley Furniture HomeStore,Furnishings
Ashley Furniture HomeStore Canada,Furnishings
Ashley Stewart,Clothing - Womens
Asian Box,Restaurant - Fast Casual
Asian Food Markets,Grocery
Aspen Athletic Clubs Iowa,Gyms + Fitness Facilities
Aspen Creek Grill,Restaurant - Casual
Aspen Dental,Dental
Aspirus,"Hospitals, Urgent Care, + Doctors"
Assisting Hands,Senior Living
Associated Bank,Banks + Financial Services
Associated Food Stores,Grocery
Associated Grocers - Baton Rouge,Grocery
Associated Retinal Consultants,Optical
Associated Supermarkets,Grocery
Assured Collision Repair Professionals,"Auto Service, Parts, + Tires"
Assured Home Health,Senior Living
Aston Martin,New/Used Car Dealers
Aston Properties,Commercial Properties
At Home,Furnishings
At The Beach,"Spa, Massage, + Esthetics"
Atasun Optik,Optical
Athleta,Clothing - Family/Unisex
Athletic Republic,Gyms + Fitness Facilities
Athletico Physical Therapy,Physical Therapy + Rehabilitation
Atlanta Bread,Restaurant - Fast Casual
AtlantiCare Physician Group,"Hospitals, Urgent Care, + Doctors"
Atlantic Retail,Commercial Properties
Atlantic Superstore,Grocery
Atmosphere,Sports + Recreation
Atomic Wings,Restaurant - QSR/Fast Food
Atria Senior Living,Misc. Health Supplies + Services
"Atria's Restaurant and Tavern",Restaurant - Casual
Atrium Health,"Hospitals, Urgent Care, + Doctors"
Atwell Suites,Hotels
Atwoods Ranch & Home,Agricultural Feed + Seed
Au Bon Pain,Restaurant - Fast Casual
Au Coq,Restaurant - Casual
Au Vieux Duluth,Restaurant - Casual
Aubainerie,Clothing - Family/Unisex
Aubrey?s,Restaurant - Casual
Aubuchon Hardware,Home Improvement + Building Supplies
Audemars Piguet,Jewelry
Audi,New/Used Car Dealers
Audi Canada,New/Used Car Dealers
Audibel,Hearing Care
Augusta Co-op Farm Bureau,Agricultural Feed + Seed
"Auntie Anne's",Restaurant - Bakery/Desserts
"Aurelio's Pizza",Restaurant - Casual
Aurora Healthcare,"Hospitals, Urgent Care, + Doctors"
Aussie Grill,Restaurant - Fast Casual
"Austin's Automotive Specialists","Auto Service, Parts, + Tires"
"Austin's Couch Potatoes",Furnishings
Autism Learning Partners,"Schools, Tutoring, + Education"
Auto Lab,"Auto Service, Parts, + Tires"
Auto Parts Outlet,"Auto Service, Parts, + Tires"
Auto Plus,"Auto Service, Parts, + Tires"
Auto Pride,"Auto Service, Parts, + Tires"
Auto Value,"Auto Service, Parts, + Tires"
Auto Value Parts Stores,"Auto Service, Parts, + Tires"
Auto Wares,"Auto Service, Parts, + Tires"
AutoGlassNow,"Auto Service, Parts, + Tires"
AutoNation,New/Used Car Dealers
AutoZone,"Auto Service, Parts, + Tires"
AutoZone Repair,"Auto Service, Parts, + Tires"
Autobell Car Wash,Car Wash
Autograph Collection Hotels,Hotels
Autopart International,"Auto Service, Parts, + Tires"
Autotire,"Auto Service, Parts, + Tires"
Autowash Co,Car Wash
Avada Audiology and Hearing Care,Hearing Care
Avalon Flooring,Home Improvement + Building Supplies
Aveda,Cosmetics + Beauty Supplies
Avenue,Clothing - Womens
Averitt Express,Shipping
Aviator Nation,Clothing - Family/Unisex
Avid Hotels,Hotels
Avis Rent A Car,Car + Truck Rentals
Avocado Green Mattress,Mattress Store
Avondale Food Stores,Grocery
Away Travel,Travel
Axalta USA - Aviation Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Cromax Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Cromax Products (Shops),Agricultural and Industrial Equipment + Supplies
Axalta USA - General Industrial Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Heavy Duty Truck Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Heavy Duty Truck Products (Shops),Agricultural and Industrial Equipment + Supplies
Axalta USA - Marine Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Metacryl Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Nason Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Nason Products (Shops),Agricultural and Industrial Equipment + Supplies
Axalta USA - Spies Hecker Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Spies Hecker Products (Shops),Agricultural and Industrial Equipment + Supplies
Axalta USA - Standox Products (Distributors),Agricultural and Industrial Equipment + Supplies
Axalta USA - Standox Products (Shops),Agricultural and Industrial Equipment + Supplies
Axep,Convenience Store
Azteca Mexican Restaurants,Restaurant - Casual
Azzip Pizza,Restaurant - Fast Casual
Aéropostale,Clothing - Family/Unisex
B Positive National Blood Services,Misc. Health Supplies + Services
B&B Italia,Furnishings
"B&B Theatres ",Theatres
B.C. Pizza,Restaurant - QSR/Fast Food
B2 Outlet Stores,Clothing - Family/Unisex
BASECAMP Fitness,Gyms + Fitness Facilities
BB&T (Branch Banking and Trust),Banks + Financial Services
BB.Q Chicken,Restaurant - Fast Casual
BBVA Compass Bancshares,Banks + Financial Services
BBs Grocery Outlet,Grocery
BB?s Tex-Orleans,Restaurant - Casual
BC Cannabis Stores,Cannabis Retail
BC Liquor Stores,"Beer, Wine, + Liquor Stores"
BC Wood Properties,Commercial Properties
BCBGMAXAZRIA,Clothing - Womens
BCBGMAXAZRIA - Distributor Locations,Clothing - Womens
BCBGeneration,Clothing - Womens
BFS Foods,Convenience Store
BI-LO,Grocery
BIG CITY Optical,Optical
BIGGBY Coffee,Restaurant - Coffee/Tea
"BJ's Optical",Optical
"BJ's Restaurants",Restaurant - Casual
"BJ's Wholesale Club",Grocery
BJC HealthCare,"Hospitals, Urgent Care, + Doctors"
BLENZ Coffee,Restaurant - Coffee/Tea
BLISS Car Wash,Car Wash
BLP Paint,Home Improvement + Building Supplies
BLP Paint - Distributor Locations,Home Improvement + Building Supplies
BMC (Building Materials and Construction Services),Home Improvement + Building Supplies
BMO Financial (Bank of Montreal),Banks + Financial Services
BMO Financial (Bank of Montreal) - ATM Locations,Banks + Financial Services
BMO Harris Bank,Banks + Financial Services
BMR,Home Improvement + Building Supplies
BMW,New/Used Car Dealers
BMW Canada,New/Used Car Dealers
BMW Motorrad USA,New/Used Car Dealers
BMW Service Department,"Auto Service, Parts, + Tires"
BODY20,Gyms + Fitness Facilities
BOK Financial,Banks + Financial Services
BOTOX Cosmetic Providers,"Spa, Massage, + Esthetics"
BP,Gas Stations
BPL Plasma,Misc. Health Supplies + Services
"BRAKEmax ","Auto Service, Parts, + Tires"
BUBBLES Salons,Hair
"Baber's Rent to Own",Furnishing Rentals
"Babies 'R' Us",Clothing - Childrens
"Babies 'R' Us Canada",Clothing - Childrens
Babycottons,Clothing - Family/Unisex
Bach To Rock,"Schools, Tutoring, + Education"
Backyard Bowls,Restaurant - Fast Casual
Backyard Burgers,Restaurant - Fast Casual
Bacon Bitch,Restaurant - Casual
Bad Ass Coffee of Hawaii,Restaurant - Coffee/Tea
Bad Axe Throwing,Amusement
Bad Boy Furniture,Furnishings
"Bad Daddy's Burger Bar",Restaurant - Casual
Badcock Home Furniture,Furnishings
Badcock Home Furniture of South Florida,Furnishings
"Baer's Furniture",Furnishings
Bagel Boss,Restaurant - Bakery/Desserts
"Bagger Dave's",Restaurant - Casual
Baggin Buns,Restaurant - Fast Casual
Baggins Gourmet,Restaurant - Fast Casual
Bahama Breeze,Restaurant - Casual
"Bahama Buck's",Restaurant - Bakery/Desserts
Bahia Bowls Acai Café,Restaurant - Fast Casual
Bailey Nelson,Optical
"Bailey's Sports Grille",Restaurant - Bar/Pub
Baileys Gym,Gyms + Fitness Facilities
Baja Fish Tacos,Restaurant - Fast Casual
Baja Fresh,Restaurant - Fast Casual
Baked By Melissa,Restaurant - Bakery/Desserts
Baker Bros American Deli,Restaurant - Casual
"Baker's Drive Thru",Restaurant - QSR/Fast Food
"Baker's Plus Supermarkets",Grocery
"Baker's Square",Restaurant - Casual
Bakersfield,Restaurant - Fast Casual
Baker?s Crust,Restaurant - Casual
Balance Grille,Restaurant - Fast Casual
"Balducci's",Grocery
Balenciaga,Clothing - Family/Unisex
Ballard Designs,Home + Housewares
Balls Food Stores,Grocery
Bally,Clothing - Family/Unisex
"Balzac's Coffee Roasters",Restaurant - Coffee/Tea
Bamboo Sushi,Restaurant - Casual
Bambu Desserts & Drinks,Restaurant - Coffee/Tea
Banamex Mexico,Banks + Financial Services
Banana Republic,Clothing - Family/Unisex
Banana Republic Mexico,Clothing - Family/Unisex
Banc of California,Banks + Financial Services
BancorpSouth,Banks + Financial Services
"Bandana's BAR-B-Q",Restaurant - Casual
Banfield Pet Hospital,Pet Health + Care
Bango Bowls,Restaurant - Fast Casual
Bank OZK,Banks + Financial Services
Bank of America,Banks + Financial Services
Bank of America - ATM Locations,Banks + Financial Services
Bank of the West,Banks + Financial Services
Bank on Buffalo,Banks + Financial Services
BankRi,Banks + Financial Services
Banner Health,"Hospitals, Urgent Care, + Doctors"
Banter by Piecing Pagoda,Jewelry
Banzai Bowls,Restaurant - Juice Bars
Baptist Health,Misc. Health Supplies + Services
Baptist Health Medical Group,"Hospitals, Urgent Care, + Doctors"
Baptist Health Medical Group Physical Therapy,Physical Therapy + Rehabilitation
Baptist Health Medical Group Urgent Care,"Hospitals, Urgent Care, + Doctors"
Baptist Health South Florida,"Hospitals, Urgent Care, + Doctors"
Bar Burrito,Restaurant - QSR/Fast Food
Bar Louie,Restaurant - Bar/Pub
Barbacoa,Restaurant - QSR/Fast Food
Barberitos,Restaurant - Fast Casual
Barbour,Clothing - Family/Unisex
Barcaro Pizzeria,Restaurant - Casual
Barcelona Wine Bar & Restaurant,Restaurant - Casual
Barcelos Flame Grilled Chicken,Restaurant - QSR/Fast Food
BareBurger,Restaurant - Fast Casual
Bargain Hunt,Discount Stores
Bargain Town,Discount Stores
Barnes and Noble,Books
